State,County,Cases,Deaths
Colorado,Jefferson,"49,557",811
Colorado,Weld,"34,041",355
Colorado,Douglas,"31,637",272
Colorado,Larimer,"28,331",249
Colorado,Boulder,"24,483",261
Colorado,Pueblo,"19,786",424
Colorado,Mesa,"17,966",260
Colorado,Fremont,"6,608",65
Colorado,Eagle,"6,458",24
Colorado,Garfield,"6,382",52
Colorado,Broomfield,"5,080",78
Colorado,La Plata,"4,247",41
Colorado,Logan,"4,071",69
Colorado,Montrose,"3,942",68
Colorado,Summit,"3,834",8
Colorado,Delta,"3,087",70
Colorado,Morgan,"2,769",96
Colorado,Pitkin,"2,643",4
Colorado,Routt,"2,391",21
Colorado,Crowley,"2,217",17
Colorado,Montezuma,"2,148",27
Colorado,Otero,"2,094",68
Colorado,Teller,"1,955",18
Colorado,Elbert,"1,913",14
Colorado,Chaffee,"1,807",25
Colorado,Alamosa,"1,779",38
Colorado,Bent,"1,549",22
Colorado,Grand,"1,522",7
Colorado,Gunnison,"1,408",6
Colorado,Prowers,"1,285",23
Colorado,Las Animas,"1,233",14
Colorado,Moffat,"1,154",28
Colorado,Archuleta,"1,111",3
Colorado,Lincoln,"1,041",4
Colorado,Yuma,975,17
Colorado,San Miguel,943,1
Colorado,Rio Grande,939,18
Colorado,Park,855,5
Colorado,Lake,843,1
Colorado,Conejos,755,24
Colorado,Rio Blanco,676,5
Colorado,Kit Carson,656,12
Colorado,Clear Creek,490,3
Colorado,Washington,476,13
Colorado,Saguache,469,7
Colorado,Huerfano,451,18
Colorado,Phillips,401,13
Colorado,Baca,325,4
Colorado,Ouray,309,4
Colorado,Gilpin,286,3
Colorado,Costilla,254,5
Colorado,Custer,237,3
Colorado,Sedgwick,236,3
Colorado,Dolores,131,1
Colorado,Cheyenne,130,6
Colorado,Kiowa,95,3
Colorado,Mineral,94,1
Colorado,Jackson,67,0
Colorado,San Juan,48,0
Colorado,Hinsdale,31,0
Connecticut,Fairfield,"101,024","2,203"
Connecticut,New Haven,"92,963","2,134"
Connecticut,Hartford,"85,139","2,440"
Connecticut,New London,"22,746",451
Connecticut,Litchfield,"14,778",298
Connecticut,Middlesex,"12,964",374
Connecticut,Windham,"11,012",195
Connecticut,Tolland,"9,719",187
Connecticut,Unknown,"1,185",1
Delaware,New Castle,"65,467",847
Delaware,Sussex,"26,422",501
Delaware,Kent,"18,385",349
Delaware,Unknown,228,0
District of Columbia,District of Columbia,"49,858","1,146"
Florida,Miami-Dade,"515,810","6,472"
Florida,Broward,"253,262","3,079"
Florida,Palm Beach,"152,944","2,883"
Florida,Hillsborough,"150,433","1,832"
Florida,Orange,"150,135","1,310"
Florida,Duval,"109,603","1,483"
Florida,Pinellas,"82,880","1,671"
Florida,Polk,"74,589","1,387"
Florida,Lee,"74,558","1,009"
Florida,Osceola,"48,374",529
Florida,Volusia,"47,529",846
Florida,Brevard,"45,840",914
Florida,Pasco,"44,705",802
Florida,Manatee,"40,602",689
Florida,Seminole,"38,087",516
Florida,Collier,"37,594",551
Florida,Escambia,"33,845",706
Florida,Sarasota,"33,365",844
Florida,Marion,"33,189",996
Florida,Leon,"33,137",332
Florida,Unknown,"33,008","1,507"
Florida,Lake,"32,523",663
Florida,St. Lucie,"29,095",657
Florida,Alachua,"26,021",285
Florida,St. Johns,"24,997",221
Florida,Okaloosa,"21,521",367
Florida,Clay,"20,949",352
Florida,Bay,"20,910",394
Florida,Santa Rosa,"18,999",291
Florida,Hernando,"15,431",482
Florida,Charlotte,"13,734",437
Florida,Martin,"13,382",335
Florida,Indian River,"13,352",306
Florida,Citrus,"11,786",463
Florida,Sumter,"9,778",284
Florida,Nassau,"9,243",127
Florida,Highlands,"9,000",366
Florida,Columbia,"8,573",170
Florida,Flagler,"7,932",114
Florida,Walton,"7,295",89
Florida,Putnam,"7,142",160
Florida,Monroe,"7,012",52
Florida,Jackson,"6,631",158
Florida,Gadsden,"5,959",99
Florida,Suwannee,"5,519",140
Florida,Hendry,"5,032",87
Florida,DeSoto,"4,486",97
Florida,Okeechobee,"4,349",89
Florida,Baker,"3,899",62
Florida,Levy,"3,748",56
Florida,Wakulla,"3,653",56
Florida,Hardee,"3,515",45
Florida,Bradford,"3,292",58
Florida,Washington,"2,803",52
Florida,Taylor,"2,803",48
Florida,Holmes,"2,306",49
Florida,Madison,"2,116",45
Florida,Gulf,"2,064",45
Florida,Union,"1,965",74
Florida,Calhoun,"1,805",45
Florida,Gilchrist,"1,713",44
Florida,Dixie,"1,676",24
Florida,Hamilton,"1,658",25
Florida,Lafayette,"1,645",26
Florida,Jefferson,"1,524",28
Florida,Franklin,"1,354",20
Florida,Liberty,"1,123",16
Florida,Glades,"1,012",19
Georgia,Gwinnett,"104,658","1,215"
Georgia,Fulton,"101,234","1,484"
Georgia,Cobb,"81,846","1,120"
Georgia,DeKalb,"68,718","1,082"
Georgia,Cherokee,"32,188",336
Georgia,Hall,"28,289",498
Georgia,Clayton,"28,024",527
Georgia,Henry,"26,610",340
Georgia,Richmond,"25,423",535
Georgia,Chatham,"24,363",469
Georgia,Forsyth,"23,651",207
Georgia,Paulding,"17,776",235
Georgia,Columbia,"17,369",213
Georgia,Muscogee,"17,252",503
Georgia,Whitfield,"17,192",250
Georgia,Bibb,"16,541",468
Georgia,Douglas,"15,904",233
Georgia,Clarke,"15,390",149
Georgia,Bartow,"15,336",241
Georgia,Houston,"15,309",274
Georgia,Coweta,"14,639",234
Georgia,Lowndes,"13,301",218
Georgia,Floyd,"12,400",241
Georgia,Carroll,"11,796",247
Georgia,Newton,"11,608",265
Georgia,Walton,"11,023",265
Georgia,Barrow,"10,356",147
Georgia,Jackson,"10,171",153
Georgia,Fayette,"9,352",178
Georgia,Glynn,"8,542",178
Georgia,Gordon,"8,429",120
Georgia,Rockdale,"8,105",180
Georgia,Walker,"8,022",91
Georgia,Troup,"7,878",240
Georgia,Dougherty,"7,829",312
Georgia,Bulloch,"6,992",122
Georgia,Catoosa,"6,845",76
Georgia,Spalding,"6,598",204
Georgia,Laurens,"5,829",173
Georgia,Polk,"5,808",100
Georgia,Coffee,"5,549",181
Georgia,Habersham,"5,258",165
Georgia,Tift,"5,114",133
Georgia,Ware,"5,087",182
Georgia,Murray,"5,082",93
Georgia,Colquitt,"4,968",131
Georgia,Effingham,"4,865",74
Georgia,Chattahoochee,"4,811",17
Georgia,Thomas,"4,798",127
Georgia,Baldwin,"4,639",136
Georgia,Camden,"4,551",41
Georgia,Liberty,"4,302",68
Georgia,Oconee,"4,091",73
Georgia,Bryan,"3,889",41
Georgia,Wayne,"3,673",91
Georgia,Pickens,"3,606",80
Georgia,Toombs,"3,552",119
Georgia,Upson,"3,546",133
Georgia,Madison,"3,324",57
Georgia,White,"3,271",84
Georgia,Butts,"3,253",90
Georgia,Stephens,"3,195",81
Georgia,Dawson,"3,163",50
Georgia,Gilmer,"3,121",90
Georgia,Lumpkin,"3,087",82
Georgia,Decatur,"3,062",74
Georgia,Unknown,"3,053",6
Georgia,Chattooga,"2,961",76
Georgia,Lee,"2,855",59
Georgia,Franklin,"2,796",57
Georgia,Monroe,"2,766",105
Georgia,Peach,"2,756",70
Georgia,Haralson,"2,756",91
Georgia,Harris,"2,710",64
Georgia,Burke,"2,699",65
Georgia,Sumter,"2,668",106
Georgia,Emanuel,"2,664",83
Georgia,Pierce,"2,595",62
Georgia,McDuffie,"2,578",52
Georgia,Fannin,"2,524",74
Georgia,Hart,"2,476",57
Georgia,Tattnall,"2,427",69
Georgia,Pike,"2,396",44
Georgia,Appling,"2,378",72
Georgia,Grady,"2,346",66
Georgia,Union,"2,333",84
Georgia,Elbert,"2,329",74
Georgia,Morgan,"2,321",31
Georgia,Putnam,"2,295",59
Georgia,Dodge,"2,190",109
Georgia,Washington,"2,177",90
Georgia,Ben Hill,"2,176",84
Georgia,Mitchell,"2,160",85
Georgia,Crisp,"2,137",91
Georgia,Jones,"2,100",60
Georgia,Lamar,"2,098",59
Georgia,Meriwether,"2,095",91
Georgia,Jefferson,"1,990",69
