State,County,Cases,Deaths
New Hampshire,Hillsborough,"36,560",648
New Hampshire,Rockingham,"24,527",269
New Hampshire,Strafford,"10,144",100
New Hampshire,Merrimack,"9,754",116
New Hampshire,Belknap,"4,226",101
New Hampshire,Grafton,"4,112",29
New Hampshire,Cheshire,"3,933",35
New Hampshire,Carroll,"2,517",13
New Hampshire,Coos,"2,103",45
New Hampshire,Sullivan,"1,897",27
New Jersey,Bergen,"105,647","2,898"
New Jersey,Essex,"95,163","3,035"
New Jersey,Middlesex,"93,206","2,377"
New Jersey,Hudson,"88,819","2,310"
New Jersey,Ocean,"77,187","2,178"
New Jersey,Monmouth,"77,080","1,645"
New Jersey,Passaic,"73,802","1,946"
New Jersey,Union,"72,208","1,987"
New Jersey,Camden,"56,380","1,343"
New Jersey,Morris,"50,748","1,243"
New Mexico,Bernalillo,"59,853",976
New Mexico,Doña Ana,"25,552",497
New Mexico,San Juan,"15,871",502
New Mexico,McKinley,"12,481",480
New Mexico,Sandoval,"12,437",243
New Mexico,Santa Fe,"10,993",153
New Mexico,Chaves,"9,347",172
New Mexico,Lea,"9,258",200
New Mexico,Valencia,"7,314",121
New Mexico,Eddy,"7,088",141
New York,New York City,"964,210","33,495"
New York,Suffolk,"202,585","3,409"
New York,Nassau,"185,373","3,183"
New York,Westchester,"130,527","2,295"
New York,Erie,"90,050","1,813"
New York,Monroe,"69,503","1,117"
New York,Orange,"48,682",724
New York,Rockland,"47,258",758
New York,Onondaga,"39,242",680
New York,Dutchess,"29,656",447
North Carolina,Mecklenburg,"116,505",986
North Carolina,Wake,"91,550",748
North Carolina,Guilford,"49,147",726
North Carolina,Forsyth,"37,327",428
North Carolina,Cumberland,"31,334",325
North Carolina,Gaston,"27,424",444
North Carolina,Durham,"26,321",239
North Carolina,Union,"25,334",228
North Carolina,Cabarrus,"22,794",264
North Carolina,Johnston,"22,776",240
North Dakota,Cass,"24,843",213
North Dakota,Burleigh,"16,087",196
North Dakota,Grand Forks,"10,732",79
North Dakota,Ward,"10,055",201
North Dakota,Morton,"5,362",102
North Dakota,Williams,"5,063",40
North Dakota,Stark,"4,991",52
North Dakota,Stutsman,"3,564",82
North Dakota,Rolette,"2,162",28
North Dakota,Richland,"2,028",17
Northern Mariana Islands,Saipan,181,2
Northern Mariana Islands,Tinian,2,0
Ohio,Franklin,"129,900","1,492"
Ohio,Cuyahoga,"116,850","2,257"
